,artists,disc_number,duration_ms,explicit,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.external_urls.spotify,album.href,album.id,album.images,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,external_ids.isrc,external_urls.spotify,src_track,src_artist
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu'}, 'href': 'https://api.spotify.com/v1/artists/3jOstUTkEu2JkjvRdBA5Gu', 'id': '3jOstUTkEu2JkjvRdBA5Gu', 'name': 'Weezer', 'type': 'artist', 'uri': 'spotify:artist:3jOstUTkEu2JkjvRdBA5Gu'}]",1.0,208773.0,False,https://api.spotify.com/v1/tracks/09aDV0TC2RfWFU5IwZfIdG,09aDV0TC2RfWFU5IwZfIdG,False,True,(If You're Wondering If I Want You To) I Want You To,51.0,,1.0,track,spotify:track:09aDV0TC2RfWFU5IwZfIdG,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu'}, 'href': 'https://api.spotify.com/v1/artists/3jOstUTkEu2JkjvRdBA5Gu', 'id': '3jOstUTkEu2JkjvRdBA5Gu', 'name': 'Weezer', 'type': 'artist', 'uri': 'spotify:artist:3jOstUTkEu2JkjvRdBA5Gu'}]",https://open.spotify.com/album/6J2BJd3FQDDlh2ZjL6QIpF,https://api.spotify.com/v1/albums/6J2BJd3FQDDlh2ZjL6QIpF,6J2BJd3FQDDlh2ZjL6QIpF,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731b219ed02fb05f02b5dc1696', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e021b219ed02fb05f02b5dc1696', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048511b219ed02fb05f02b5dc1696', 'width': 64}]",Raditude (Deluxe),2009-11-03,day,14.0,album,spotify:album:6J2BJd3FQDDlh2ZjL6QIpF,USUM70981229,https://open.spotify.com/track/09aDV0TC2RfWFU5IwZfIdG,(If You're Wondering If I Want You To) I Want You To,Weezer
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM'}, 'href': 'https://api.spotify.com/v1/artists/5RcJDMYwS4w1XJkNiR4LvM', 'id': '5RcJDMYwS4w1XJkNiR4LvM', 'name': 'Immediate', 'type': 'artist', 'uri': 'spotify:artist:5RcJDMYwS4w1XJkNiR4LvM'}]",1.0,107213.0,False,https://api.spotify.com/v1/tracks/3yUljESQwY128vx2deLdnX,3yUljESQwY128vx2deLdnX,False,True,Unknown Presence,0.0,https://p.scdn.co/mp3-preview/c105e9d11cb508f54a11981949d268a2ad426158?cid=bdfb29e506ed42179883acd1a08cfa9d,16.0,track,spotify:track:3yUljESQwY128vx2deLdnX,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5RcJDMYwS4w1XJkNiR4LvM'}, 'href': 'https://api.spotify.com/v1/artists/5RcJDMYwS4w1XJkNiR4LvM', 'id': '5RcJDMYwS4w1XJkNiR4LvM', 'name': 'Immediate', 'type': 'artist', 'uri': 'spotify:artist:5RcJDMYwS4w1XJkNiR4LvM'}]",https://open.spotify.com/album/5bDd4mX12uOJ7Vwrj7qrHH,https://api.spotify.com/v1/albums/5bDd4mX12uOJ7Vwrj7qrHH,5bDd4mX12uOJ7Vwrj7qrHH,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c8dbadea0f8af3d533036143', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c8dbadea0f8af3d533036143', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c8dbadea0f8af3d533036143', 'width': 64}]",Terror Storm,2018-07-09,day,19.0,album,spotify:album:5bDd4mX12uOJ7Vwrj7qrHH,US3DF1816832,https://open.spotify.com/track/3yUljESQwY128vx2deLdnX,(Unknown),Immediate Music
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3MKCzCnpzw3TjUYs2v7vDA'}, 'href': 'https://api.spotify.com/v1/artists/3MKCzCnpzw3TjUYs2v7vDA', 'id': '3MKCzCnpzw3TjUYs2v7vDA', 'name': 'Pyotr Ilyich Tchaikovsky', 'type': 'artist', 'uri': 'spotify:artist:3MKCzCnpzw3TjUYs2v7vDA'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1XaPI6thQ3zTKqIU6sCvd2'}, 'href': 'https://api.spotify.com/v1/artists/1XaPI6thQ3zTKqIU6sCvd2', 'id': '1XaPI6thQ3zTKqIU6sCvd2', 'name': 'Gothenburg Symphony Orchestra', 'type': 'artist', 'uri': 'spotify:artist:1XaPI6thQ3zTKqIU6sCvd2'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1Ag8YIsbYKyVbtqiJV6RKF'}, 'href': 'https://api.spotify.com/v1/artists/1Ag8YIsbYKyVbtqiJV6RKF', 'id': '1Ag8YIsbYKyVbtqiJV6RKF', 'name': 'Gothenburg Artillery Division', 'type': 'artist', 'uri': 'spotify:artist:1Ag8YIsbYKyVbtqiJV6RKF'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4z9e88mtvW1Nu3Yc5odkR3'}, 'href': 'https://api.spotify.com/v1/artists/4z9e88mtvW1Nu3Yc5odkR3', 'id': '4z9e88mtvW1Nu3Yc5odkR3', 'name': 'Gothenburg Symphony Brass Band', 'type': 'artist', 'uri': 'spotify:artist:4z9e88mtvW1Nu3Yc5odkR3'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4znBTAxGaDPy7L21pvi13B'}, 'href': 'https://api.spotify.com/v1/artists/4znBTAxGaDPy7L21pvi13B', 'id': '4znBTAxGaDPy7L21pvi13B', 'name': 'Churchbells of Gothenburg', 'type': 'artist', 'uri': 'spotify:artist:4znBTAxGaDPy7L21pvi13B'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5UHZvYJA0aPcJSLYkYAeps'}, 'href': 'https://api.spotify.com/v1/artists/5UHZvYJA0aPcJSLYkYAeps', 'id': '5UHZvYJA0aPcJSLYkYAeps', 'name': 'Neeme Järvi', 'type': 'artist', 'uri': 'spotify:artist:5UHZvYJA0aPcJSLYkYAeps'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/498V0jvAaJ51ObcInCBq1f'}, 'href': 'https://api.spotify.com/v1/artists/498V0jvAaJ51ObcInCBq1f', 'id': '498V0jvAaJ51ObcInCBq1f', 'name': 'Gothenburg Symphony Chorus', 'type': 'artist', 'uri': 'spotify:artist:498V0jvAaJ51ObcInCBq1f'}]",1.0,979506.0,False,https://api.spotify.com/v1/tracks/7uZbBuIV0blyT0GUYHrsdC,7uZbBuIV0blyT0GUYHrsdC,False,True,"Overture 1812, Op.49, TH 49",0.0,,321.0,track,spotify:track:7uZbBuIV0blyT0GUYHrsdC,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3MKCzCnpzw3TjUYs2v7vDA'}, 'href': 'https://api.spotify.com/v1/artists/3MKCzCnpzw3TjUYs2v7vDA', 'id': '3MKCzCnpzw3TjUYs2v7vDA', 'name': 'Pyotr Ilyich Tchaikovsky', 'type': 'artist', 'uri': 'spotify:artist:3MKCzCnpzw3TjUYs2v7vDA'}]",https://open.spotify.com/album/42Ea6JFJRufAzMXIDtAAjh,https://api.spotify.com/v1/albums/42Ea6JFJRufAzMXIDtAAjh,42Ea6JFJRufAzMXIDtAAjh,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27307f5aae0ea795e8f4eb9dbea', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0207f5aae0ea795e8f4eb9dbea', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485107f5aae0ea795e8f4eb9dbea', 'width': 64}]",The Musical Mind of Tchaikovsky,2021-01-05,day,323.0,album,spotify:album:42Ea6JFJRufAzMXIDtAAjh,DEF058902870,https://open.spotify.com/track/7uZbBuIV0blyT0GUYHrsdC,1812 Overture,Pyotr Ilyich Tchaikovsky
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB'}, 'href': 'https://api.spotify.com/v1/artists/6RZUqkomCmb8zCRqc9eznB', 'id': '6RZUqkomCmb8zCRqc9eznB', 'name': 'Placebo', 'type': 'artist', 'uri': 'spotify:artist:6RZUqkomCmb8zCRqc9eznB'}]",1.0,220800.0,False,https://api.spotify.com/v1/tracks/2fEEWFSczDEkevfOr5VeTB,2fEEWFSczDEkevfOr5VeTB,False,True,20th Century Boy,40.0,https://p.scdn.co/mp3-preview/0e377eb6c0be2ba686fa143ecfb4806cb5c5e5f5?cid=bdfb29e506ed42179883acd1a08cfa9d,5.0,track,spotify:track:2fEEWFSczDEkevfOr5VeTB,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6RZUqkomCmb8zCRqc9eznB'}, 'href': 'https://api.spotify.com/v1/artists/6RZUqkomCmb8zCRqc9eznB', 'id': '6RZUqkomCmb8zCRqc9eznB', 'name': 'Placebo', 'type': 'artist', 'uri': 'spotify:artist:6RZUqkomCmb8zCRqc9eznB'}]",https://open.spotify.com/album/42LvsxgKnHYVu7PQRXmURw,https://api.spotify.com/v1/albums/42LvsxgKnHYVu7PQRXmURw,42LvsxgKnHYVu7PQRXmURw,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735574c157ee6da19c3d2fbd16', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025574c157ee6da19c3d2fbd16', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515574c157ee6da19c3d2fbd16', 'width': 64}]",Covers,2003-03-24,day,10.0,album,spotify:album:42LvsxgKnHYVu7PQRXmURw,GBAAA9820601,https://open.spotify.com/track/2fEEWFSczDEkevfOr5VeTB,20th Century Boy,Placebo
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB'}, 'href': 'https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB', 'id': '2cCUtGK9sDU2EoElnk0GNB', 'name': 'The National', 'type': 'artist', 'uri': 'spotify:artist:2cCUtGK9sDU2EoElnk0GNB'}]",1.0,250760.0,False,https://api.spotify.com/v1/tracks/65vKbFXcoAclTvHaJ7AQY0,65vKbFXcoAclTvHaJ7AQY0,False,True,About Today,62.0,https://p.scdn.co/mp3-preview/290933e580e9c91e939c69bfe4c528084bb0a016?cid=bdfb29e506ed42179883acd1a08cfa9d,5.0,track,spotify:track:65vKbFXcoAclTvHaJ7AQY0,single,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2cCUtGK9sDU2EoElnk0GNB'}, 'href': 'https://api.spotify.com/v1/artists/2cCUtGK9sDU2EoElnk0GNB', 'id': '2cCUtGK9sDU2EoElnk0GNB', 'name': 'The National', 'type': 'artist', 'uri': 'spotify:artist:2cCUtGK9sDU2EoElnk0GNB'}]",https://open.spotify.com/album/3HXi8v64hk46CDqgOELMLP,https://api.spotify.com/v1/albums/3HXi8v64hk46CDqgOELMLP,3HXi8v64hk46CDqgOELMLP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c7f24d168d216cd784218bec', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c7f24d168d216cd784218bec', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c7f24d168d216cd784218bec', 'width': 64}]",Cherry Tree,2004-07-20,day,7.0,album,spotify:album:3HXi8v64hk46CDqgOELMLP,USI4R0508291,https://open.spotify.com/track/65vKbFXcoAclTvHaJ7AQY0,About Today,The National
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa'}, 'href': 'https://api.spotify.com/v1/artists/5F4ObszoeVebqtc0B3XqJa', 'id': '5F4ObszoeVebqtc0B3XqJa', 'name': 'Audiomachine', 'type': 'artist', 'uri': 'spotify:artist:5F4ObszoeVebqtc0B3XqJa'}]",1.0,82000.0,False,https://api.spotify.com/v1/tracks/586eHbSgVkBHlWP6ORwx6E,586eHbSgVkBHlWP6ORwx6E,False,True,Akkadian Empire,49.0,https://p.scdn.co/mp3-preview/727d8251b2b856f916d986442e3bb35d2e004563?cid=bdfb29e506ed42179883acd1a08cfa9d,3.0,track,spotify:track:586eHbSgVkBHlWP6ORwx6E,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa'}, 'href': 'https://api.spotify.com/v1/artists/5F4ObszoeVebqtc0B3XqJa', 'id': '5F4ObszoeVebqtc0B3XqJa', 'name': 'Audiomachine', 'type': 'artist', 'uri': 'spotify:artist:5F4ObszoeVebqtc0B3XqJa'}]",https://open.spotify.com/album/2reQVSlAob2ZP8T4Oa7AsR,https://api.spotify.com/v1/albums/2reQVSlAob2ZP8T4Oa7AsR,2reQVSlAob2ZP8T4Oa7AsR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b2e5eb4dfb5d1cb7c90526b9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b2e5eb4dfb5d1cb7c90526b9', 'width': 64}]",Chronicles,2012-03-23,day,28.0,album,spotify:album:2reQVSlAob2ZP8T4Oa7AsR,uscgj1241638,https://open.spotify.com/track/586eHbSgVkBHlWP6ORwx6E,Akkadian Empire,Audiomachine
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5Wabl1lPdNOeIn0SQ5A1mp'}, 'href': 'https://api.spotify.com/v1/artists/5Wabl1lPdNOeIn0SQ5A1mp', 'id': '5Wabl1lPdNOeIn0SQ5A1mp', 'name': 'Cocteau Twins', 'type': 'artist', 'uri': 'spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3ZqRIzadY4WYQEg4Hj2vGC'}, 'href': 'https://api.spotify.com/v1/artists/3ZqRIzadY4WYQEg4Hj2vGC', 'id': '3ZqRIzadY4WYQEg4Hj2vGC', 'name': 'Robin Guthrie', 'type': 'artist', 'uri': 'spotify:artist:3ZqRIzadY4WYQEg4Hj2vGC'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/791Z3924aa619hZ3xsOJEx'}, 'href': 'https://api.spotify.com/v1/artists/791Z3924aa619hZ3xsOJEx', 'id': '791Z3924aa619hZ3xsOJEx', 'name': 'Elizabeth Fraser', 'type': 'artist', 'uri': 'spotify:artist:791Z3924aa619hZ3xsOJEx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/31eiHDLnkVg1fEezZihdfQ'}, 'href': 'https://api.spotify.com/v1/artists/31eiHDLnkVg1fEezZihdfQ', 'id': '31eiHDLnkVg1fEezZihdfQ', 'name': 'Simon Raymonde', 'type': 'artist', 'uri': 'spotify:artist:31eiHDLnkVg1fEezZihdfQ'}]",2.0,267826.0,False,https://api.spotify.com/v1/tracks/4mfNiZl9qisxdLiLHIRa4n,4mfNiZl9qisxdLiLHIRa4n,False,True,Alice,34.0,https://p.scdn.co/mp3-preview/dc7d7bfc09e2600c0d9baa32e5d0284a9128d77f?cid=bdfb29e506ed42179883acd1a08cfa9d,14.0,track,spotify:track:4mfNiZl9qisxdLiLHIRa4n,compilation,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5Wabl1lPdNOeIn0SQ5A1mp'}, 'href': 'https://api.spotify.com/v1/artists/5Wabl1lPdNOeIn0SQ5A1mp', 'id': '5Wabl1lPdNOeIn0SQ5A1mp', 'name': 'Cocteau Twins', 'type': 'artist', 'uri': 'spotify:artist:5Wabl1lPdNOeIn0SQ5A1mp'}]",https://open.spotify.com/album/6yrVgxDtLcJT6fiLHz4rLh,https://api.spotify.com/v1/albums/6yrVgxDtLcJT6fiLHz4rLh,6yrVgxDtLcJT6fiLHz4rLh,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273239814ac25ff1b219507e5ac', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02239814ac25ff1b219507e5ac', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851239814ac25ff1b219507e5ac', 'width': 64}]",Lullabies To Violaine - Volume 2,2007-01-09,day,27.0,album,spotify:album:6yrVgxDtLcJT6fiLHz4rLh,GBF089601095,https://open.spotify.com/track/4mfNiZl9qisxdLiLHIRa4n,Alice,Cocteau Twins
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3C6chBmZ9wzisBhoh8G2nK'}, 'href': 'https://api.spotify.com/v1/artists/3C6chBmZ9wzisBhoh8G2nK', 'id': '3C6chBmZ9wzisBhoh8G2nK', 'name': 'Naked Eyes', 'type': 'artist', 'uri': 'spotify:artist:3C6chBmZ9wzisBhoh8G2nK'}]",1.0,219373.0,False,https://api.spotify.com/v1/tracks/3ZXcjz3A5vNsR5dA1e6ITl,3ZXcjz3A5vNsR5dA1e6ITl,False,True,Always Something There to Remind Me - 2018 Remaster,59.0,https://p.scdn.co/mp3-preview/69b6d121edda0728fac7e163c0043c2758ca66d5?cid=bdfb29e506ed42179883acd1a08cfa9d,1.0,track,spotify:track:3ZXcjz3A5vNsR5dA1e6ITl,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3C6chBmZ9wzisBhoh8G2nK'}, 'href': 'https://api.spotify.com/v1/artists/3C6chBmZ9wzisBhoh8G2nK', 'id': '3C6chBmZ9wzisBhoh8G2nK', 'name': 'Naked Eyes', 'type': 'artist', 'uri': 'spotify:artist:3C6chBmZ9wzisBhoh8G2nK'}]",https://open.spotify.com/album/7HjVFnnMa4WF38J2BJqiTl,https://api.spotify.com/v1/albums/7HjVFnnMa4WF38J2BJqiTl,7HjVFnnMa4WF38J2BJqiTl,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eefb6febbc7c67ff54aa3fb8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02eefb6febbc7c67ff54aa3fb8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851eefb6febbc7c67ff54aa3fb8', 'width': 64}]",Naked Eyes (2018 Remaster),1983-01-01,day,15.0,album,spotify:album:7HjVFnnMa4WF38J2BJqiTl,UKKP21800044,https://open.spotify.com/track/3ZXcjz3A5vNsR5dA1e6ITl,Always Something There To Remind Me,Naked Eyes
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt'}, 'href': 'https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt', 'id': '0rvjqX7ttXeg3mTy8Xscbt', 'name': 'Journey', 'type': 'artist', 'uri': 'spotify:artist:0rvjqX7ttXeg3mTy8Xscbt'}]",1.0,201693.0,False,https://api.spotify.com/v1/tracks/71SvEDmsOwIWw1IozsZoMA,71SvEDmsOwIWw1IozsZoMA,False,True,Any Way You Want It,73.0,https://p.scdn.co/mp3-preview/1958083a802470daee3a9a0ed171d6a0ee3d9bc6?cid=bdfb29e506ed42179883acd1a08cfa9d,1.0,track,spotify:track:71SvEDmsOwIWw1IozsZoMA,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0rvjqX7ttXeg3mTy8Xscbt'}, 'href': 'https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt', 'id': '0rvjqX7ttXeg3mTy8Xscbt', 'name': 'Journey', 'type': 'artist', 'uri': 'spotify:artist:0rvjqX7ttXeg3mTy8Xscbt'}]",https://open.spotify.com/album/2OyVtIEp7O7a6o82DF4Ba5,https://api.spotify.com/v1/albums/2OyVtIEp7O7a6o82DF4Ba5,2OyVtIEp7O7a6o82DF4Ba5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27369652529922fe113067dde24', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0269652529922fe113067dde24', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485169652529922fe113067dde24', 'width': 64}]",Departure,1980,year,14.0,album,spotify:album:2OyVtIEp7O7a6o82DF4Ba5,USSM18100114,https://open.spotify.com/track/71SvEDmsOwIWw1IozsZoMA,Any Way You Want It,Journey
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3yEnArbNHyTCwMRvD9SBy4'}, 'href': 'https://api.spotify.com/v1/artists/3yEnArbNHyTCwMRvD9SBy4', 'id': '3yEnArbNHyTCwMRvD9SBy4', 'name': 'Wolfmother', 'type': 'artist', 'uri': 'spotify:artist:3yEnArbNHyTCwMRvD9SBy4'}]",1.0,210240.0,False,https://api.spotify.com/v1/tracks/6R0zt7H9r8MCqDaqn2TkFA,6R0zt7H9r8MCqDaqn2TkFA,False,True,Apple Tree,38.0,,5.0,track,spotify:track:6R0zt7H9r8MCqDaqn2TkFA,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3yEnArbNHyTCwMRvD9SBy4'}, 'href': 'https://api.spotify.com/v1/artists/3yEnArbNHyTCwMRvD9SBy4', 'id': '3yEnArbNHyTCwMRvD9SBy4', 'name': 'Wolfmother', 'type': 'artist', 'uri': 'spotify:artist:3yEnArbNHyTCwMRvD9SBy4'}]",https://open.spotify.com/album/5ywynDHLHT3l8QSu41TcmC,https://api.spotify.com/v1/albums/5ywynDHLHT3l8QSu41TcmC,5ywynDHLHT3l8QSu41TcmC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27304422c5d997bfa6c750a12f1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0204422c5d997bfa6c750a12f1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485104422c5d997bfa6c750a12f1', 'width': 64}]",Wolfmother,2006-01-01,day,13.0,album,spotify:album:5ywynDHLHT3l8QSu41TcmC,AUUM70500116,https://open.spotify.com/track/6R0zt7H9r8MCqDaqn2TkFA,Apple Tree,Wolfmother
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1GhPHrq36VKCY3ucVaZCfo'}, 'href': 'https://api.spotify.com/v1/artists/1GhPHrq36VKCY3ucVaZCfo', 'id': '1GhPHrq36VKCY3ucVaZCfo', 'name': 'The Chemical Brothers', 'type': 'artist', 'uri': 'spotify:artist:1GhPHrq36VKCY3ucVaZCfo'}]",1.0,287226.0,False,https://api.spotify.com/v1/tracks/4BITFC4lrPVAUfwxYuak7v,4BITFC4lrPVAUfwxYuak7v,False,True,Asleep From Day,49.0,,7.0,track,spotify:track:4BITFC4lrPVAUfwxYuak7v,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1GhPHrq36VKCY3ucVaZCfo'}, 'href': 'https://api.spotify.com/v1/artists/1GhPHrq36VKCY3ucVaZCfo', 'id': '1GhPHrq36VKCY3ucVaZCfo', 'name': 'The Chemical Brothers', 'type': 'artist', 'uri': 'spotify:artist:1GhPHrq36VKCY3ucVaZCfo'}]",https://open.spotify.com/album/1QJP73UumgERuzp3yJSXw3,https://api.spotify.com/v1/albums/1QJP73UumgERuzp3yJSXw3,1QJP73UumgERuzp3yJSXw3,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27329dc59785f4c767fcbfc9e38', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0229dc59785f4c767fcbfc9e38', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485129dc59785f4c767fcbfc9e38', 'width': 64}]",Surrender,1999-01-01,day,11.0,album,spotify:album:1QJP73UumgERuzp3yJSXw3,GBAAA9900301,https://open.spotify.com/track/4BITFC4lrPVAUfwxYuak7v,Asleep from Day,The Chemical Brothers
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5rSOEiley4IJM02mpuf0qM'}, 'href': 'https://api.spotify.com/v1/artists/5rSOEiley4IJM02mpuf0qM', 'id': '5rSOEiley4IJM02mpuf0qM', 'name': 'PostHaste Music', 'type': 'artist', 'uri': 'spotify:artist:5rSOEiley4IJM02mpuf0qM'}]",1.0,131813.0,False,https://api.spotify.com/v1/tracks/75mkBdsvlfUSy9qSrDwleY,75mkBdsvlfUSy9qSrDwleY,False,True,Aurora,26.0,https://p.scdn.co/mp3-preview/6ab5ab33ae12bf8b078b888ce417d21d089072ff?cid=bdfb29e506ed42179883acd1a08cfa9d,14.0,track,spotify:track:75mkBdsvlfUSy9qSrDwleY,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]",https://open.spotify.com/album/0tZ4ZMRjTKhK49L4WOGT2I,https://api.spotify.com/v1/albums/0tZ4ZMRjTKhK49L4WOGT2I,0tZ4ZMRjTKhK49L4WOGT2I,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d6e9cc2d34f9884c89c59cea', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d6e9cc2d34f9884c89c59cea', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d6e9cc2d34f9884c89c59cea', 'width': 64}]","This Is Epic Music, Vol. 1",2014-12-02,day,22.0,album,spotify:album:0tZ4ZMRjTKhK49L4WOGT2I,QMSTJ1405614,https://open.spotify.com/track/75mkBdsvlfUSy9qSrDwleY,Aurora,PostHaste Music
0,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w'}, 'href': 'https://api.spotify.com/v1/artists/67ea9eGLXYMsO2eYQRui3w', 'id': '67ea9eGLXYMsO2eYQRui3w', 'name': 'The Who', 'type': 'artist', 'uri': 'spotify:artist:67ea9eGLXYMsO2eYQRui3w'}]",1.0,300400.0,False,https://api.spotify.com/v1/tracks/3qiyyUfYe7CRYLucrPmulD,3qiyyUfYe7CRYLucrPmulD,False,True,Baba O'Riley,79.0,,1.0,track,spotify:track:3qiyyUfYe7CRYLucrPmulD,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w'}, 'href': 'https://api.spotify.com/v1/artists/67ea9eGLXYMsO2eYQRui3w', 'id': '67ea9eGLXYMsO2eYQRui3w', 'name': 'The Who', 'type': 'artist', 'uri': 'spotify:artist:67ea9eGLXYMsO2eYQRui3w'}]",https://open.spotify.com/album/5MqyhhHbT13zsloD3uHhlQ,https://api.spotify.com/v1/albums/5MqyhhHbT13zsloD3uHhlQ,5MqyhhHbT13zsloD3uHhlQ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fe24dcd263c08c6dd84b6e8c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fe24dcd263c08c6dd84b6e8c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fe24dcd263c08c6dd84b6e8c', 'width': 64}]",Who's Next,1971-08-14,day,29.0,album,spotify:album:5MqyhhHbT13zsloD3uHhlQ,GBAKW7100001,https://open.spotify.com/track/3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who
